# timestamp tx ty tz qx qy qz qw
1540113194.61788 -1.18107523710606 -5.96192945669128 -0.212501069847466 0.203688444004243 0.691161966293528 -0.626954708795036 -0.296199168209712
1540113194.61988 -1.18105839504652 -5.96191703140786 -0.212536280010596 0.203680867561081 0.691159871723952 -0.626954089190576 -0.296210577048341
1540113194.62188 -1.18104168432078 -5.96190490341766 -0.212571031520982 0.203675363773536 0.691156887249716 -0.626954591091912 -0.29622026282443
1540113194.62388 -1.18102511321173 -5.96189303553129 -0.212605341801188 0.203671708948223 0.691153121825077 -0.626956074007629 -0.296228422725609
1540113194.62588 -1.18100868931823 -5.96188139260618 -0.21263922759444 0.203669691719862 0.691148677726232 -0.626958406176956 -0.296235242461239
1540113194.62788 -1.18099241957383 -5.96186994149678 -0.212672704978703 0.203669112751915 0.691143650732734 -0.626961464342791 -0.296240896555183
1540113194.62988 -1.18097631026545 -5.9618586510048 -0.212705789380753 0.20366978443689 0.691138130307728 -0.626965133523629 -0.296245548638063
1540113194.63188 -1.18096036705206 -5.96184749182943 -0.212738495590256 0.203671530596341 0.69113219977718 -0.626969306784542 -0.296249351739054
1540113194.63388 -1.18094459498338 -5.96183643651758 -0.212770837773838 0.20367418618061 0.691125936508252 -0.626973885007364 -0.296252448577275
1540113194.63588 -1.18092899851856 -5.96182545941408 -0.212802829489164 0.203677596968346 0.691119412086935 -0.626978776660168 -0.296254971852842
1540113194.63788 -1.18091358154487 -5.96181453661192 -0.212834483699013 0.203681619265829 0.691112692495094 -0.626983897566175 -0.29625704453761
1540113194.63988 -1.18089834739641 -5.96180364590245 -0.212865812785351 0.203686119606141 0.691105838286992 -0.626989170672169 -0.296258780165674
1540113194.64188 -1.18088329887274 -5.96179276672566 -0.212896828563406 0.203690974448194 0.69109890476542 -0.626994525816521 -0.296260283123638
1540113194.64388 -1.18086843825766 -5.96178188012034 -0.212927542295745 0.20369606987565 0.691091942157501 -0.626999899496892 -0.29626164894072
1540113194.64588 -1.18085376733781 -5.96177096867437 -0.212957964706348 0.203701301295749 0.691084995790248 -0.62700523463768 -0.2962629645787
1540113194.64788 -1.18083928742139 -5.96176001647488 -0.212988105994683 0.203706573138065 0.691078106265929 -0.627010480357281 -0.296264308721748
1540113194.64988 -1.18082499935689 -5.96174900905851 -0.213017975849782 0.203711798553204 0.69107130963732 -0.627015591735206 -0.29626575206616
1540113194.65188 -1.18081090355171 -5.96173793336165 -0.213047583464312 0.20371689911146 0.691064637582854 -0.627020529579108 -0.296267357610023
1540113194.65388 -1.18079699999089 -5.96172677767062 -0.213076937548657 0.203721804501441 0.691058117581745 -0.627025260191744 -0.296269180942816
1540113194.65588 -1.18078328825579 -5.96171553157195 -0.213106046344987 0.203726452228667 0.691051773089096 -0.627029755137924 -0.296271270534982
1540113194.65788 -1.18076976754278 -5.96170418590254 -0.213134917641335 0.203730787314166 0.691045623711017 -0.627033991011451 -0.296273668027476
1540113194.65988 -1.18075643668193 -5.96169273269995 -0.213163558785675 0.203734761993046 0.691039685379792 -0.627037949202089 -0.296276408521288
